category,market,ticker,name
indices,US,^NDX,纳斯达克100指数
indices,US,QQQ,纳斯达克100基金
indices,US,TQQQ,三倍纳斯达克100基金
indices,CN,^HSI,恒生指数
indices,CN,000300.SS,沪深300指数
indices,CN,000001.SS,上证综合指数
indices,GL,^N225,日经225指数
indices,GL,^STOXX50E,欧洲斯托克50指数
indices,US,USDCNY=X,美元兑人民币汇率
indices,GL,BTC-USD,比特币
sectors,GL,GLD,黄金ETF（GLD）
sectors,GL,SLV,白银ETF（SLV）
sectors,GL,USO,原油ETF（USO）
stocks,US,AAPL,苹果
stocks,US,MSFT,微软
stocks,US,NVDA,英伟达
stocks,US,GOOGL,谷歌
stocks,US,TSLA,特斯拉
stocks,US,TSM,台积电
stocks,US,AMD,AMD
stocks,HK,0700.HK,腾讯控股
stocks,HK,3690.HK,美团
stocks,HK,9618.HK,京东集团-SW
stocks,HK,1810.HK,小米集团-W
stocks,HK,0992.HK,联想
stocks,CN,600519.SS,贵州茅台
indices,GL,^GDAXI,德国DAX指数
indices,GL,^FCHI,法国CAC40指数
indices,GL,^TWII,台湾加权指数
indices,GL,^AXJO,澳大利亚S&P/ASX 200指数
indices,GL,^BSESN,印度SENSEX指数
stocks,US,AMZN,亚马逊
stocks,US,META,Meta（Facebook）
stocks,US,BRK-B,伯克希尔B
stocks,US,JPM,摩根大通
stocks,US,UNH,联合健康
stocks,US,AVGO,博通
stocks,US,ASML,阿斯麦
stocks,HK,9988.HK,阿里巴巴-SW
stocks,HK,0939.HK,建设银行
stocks,HK,1398.HK,工商银行
stocks,CN,000858.SZ,五粮液
stocks,CN,300750.SZ,宁德时代
stocks,CN,601318.SS,中国平安A
stocks,CN,600036.SS,招商银行A
stocks,CN,601857.SS,中国石油
stocks,CN,601088.SS,中国神华
stocks,CN,002594.SZ,比亚迪
stocks,CN,601899.SS,紫金矿业

